duration,protocol_type,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,failure
15,0,3608,2450,1,0,0,8,1,0,2,170,246,0.04173692582291891,0.09973397115702796,0.8996452784247468,0.07747118485996271,0
22,2,3450,3880,1,1,0,2,0,1,3,89,400,0.035036054611826406,0.03481229982576739,0.8638206796838038,0.021163822634090057,0
22,2,4124,2018,1,0,0,7,0,0,4,271,400,0.019642613561786083,0.05385472721535135,0.9011843293919182,0.09241915845531128,0
59,2,483,1567,0,2,0,4,0,1,2,52,81,0.09574458620689562,0.03663576989794609,0.9702651238518873,0.014068351977918059,0
33,2,2555,67,1,1,1,6,1,1,0,184,200,0.004559218517812225,0.03218504899836712,0.8470332977986874,2.620070810603892e-05,0
46,0,4365,1317,1,2,0,2,0,1,0,35,298,0.022273202097996547,0.03538966790957533,0.9718115415355969,0.07212737470356657,0
50,2,1717,1360,1,0,0,6,0,0,4,405,433,0.07710209216190433,0.07187321327409942,0.9310380106044509,0.0581737216006927,0
1,0,2054,3751,0,2,0,2,0,0,3,111,341,0.05350745480792225,0.08308913344266358,0.891941176171957,0.07072845791801631,0
36,1,829,180,0,0,1,1,1,0,3,109,337,0.08829596766482407,0.008979779703937974,0.873426862537572,0.06082837812012715,0
18,2,2260,2513,0,1,1,9,0,1,0,387,178,0.05317939577064893,0.057068766987615774,0.9914567190103638,0.08340339410770098,0
27,2,4356,59,0,0,0,4,0,0,4,445,239,0.04027184415808291,0.03928462477421494,0.9072931001684822,0.0976814215802197,0
32,1,715,1042,0,2,1,0,1,1,4,359,344,0.06207051093411621,0.04725180841792496,0.8089657702720436,0.018216345183939664,0
27,2,3383,1024,1,1,0,5,1,0,2,178,109,0.03936683353668802,0.06001286794815758,0.8206618170130439,0.06602909930759451,0
25,1,1260,2403,1,2,0,4,0,1,4,77,484,0.09616277066536864,0.026479903271950524,0.894526646288703,0.08850168758955736,0
7,2,2558,3515,1,0,1,8,1,1,3,456,306,0.03160649562745112,0.08604971862547511,0.9920738462627685,0.0032118373438061233,0
465,0,64069,254,0,8,2,17,6,0,35,424,22,0.9360033942943004,0.7449724142069243,0.24140638560454822,0.7473818569110504,1
31,0,4805,3110,0,0,1,8,1,0,1,319,206,0.009251292219844031,0.027889691463862,0.8206672410275425,0.06413786791897826,0
288,0,38223,455,1,4,2,10,5,1,12,282,25,0.9418577739547507,0.4954408447727469,0.01910142046895391,0.5832201243170072,1
12,1,3018,3741,1,0,1,5,0,0,1,291,80,0.076721341380158,0.04717924416026251,0.8176974889241027,0.05989345047722784,0
12,2,145,552,0,1,1,6,0,0,0,177,316,0.07779309970918005,0.09839849528212788,0.9260100551707104,0.05452231973102915,0
32,0,2932,1113,0,1,0,0,1,0,2,496,377,0.03199983297572528,0.05705210658161808,0.8277567062050192,0.06517632530701277,0
42,0,129,3264,0,1,0,3,1,0,4,217,269,0.021531362585140323,0.029667596013507713,0.8706680146395315,0.05094649969325086,0
35,0,4684,1736,1,2,1,6,1,1,3,301,341,0.015550343753900554,0.09884244418006191,0.8186674149220561,0.06844477655375251,0
